HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_id,Input.content,Answer.QuestionSentencesBox,Answer.QuestionTextBox,Approve,Reject
3VI0PC2ZAYK42V7TM03WN5K9U4ZOXU,3D8ERG8DI83OW7M7S32LV9DY0TKMAE,Construct a question based on text,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Thu Mar 03 14:31:48 PST 2016,1,BatchId:2295025;,900,86400,Thu Mar 10 14:31:48 PST 2016,,,3EJJQNKU9R5D02XOZR7F2YX2RZ4HRJ,A1640H4RXH8NZE,Approved,Thu Mar 03 14:37:09 PST 2016,Thu Mar 03 14:38:21 PST 2016,Fri Mar 04 14:38:21 PST 2016,2016-03-04 22:43:09 UTC,,,72,100% (5/5),100% (5/5),100% (5/5),Soft_Construction_with_Boiled_Beans_(Premonition_of_Civil_War)-Description,"Category: Art<br/>Title: Soft Construction with Boiled Beans (Premonition of Civil War)<br/>Section: Description<br/><br/>1. This is a painting made with oil on canvas that is located in the Philadelphia Museum of Art.<br/>2. Dalí painted it in 1936, but there were studies found of it that dated back to 1934.<br/>3. It is a picture of a geometric monster type creature and connected to a similar monster.<br/>4. The two creatures appear to be two parts of the same creature so that it appears to be wrestling itself.<br/>5. All over the background and on parts of the monster are boiled beans that look as though they are melting.<br/>6. The monster stands on trees and a brown wooden box.<br/>7. The background is a blue sky with clouds, that are darker in some parts and lighter in others.<br/>",2,When do studies date the painting back to?,,
39RRBHZ0AU1OXAG5OUDVFIUSYXTVZZ,3D8ERG8DI83OW7M7S32LV9DY0TKMAE,Construct a question based on text,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Thu Mar 03 14:31:50 PST 2016,1,BatchId:2295025;,900,86400,Thu Mar 10 14:31:50 PST 2016,,,388U7OUMF712P2RS1J0UW6YL5I2R0R,A1640H4RXH8NZE,Approved,Thu Mar 03 14:39:49 PST 2016,Thu Mar 03 14:41:11 PST 2016,Fri Mar 04 14:41:11 PST 2016,2016-03-04 22:43:10 UTC,,,82,100% (5/5),100% (5/5),100% (5/5),Romania-Social_welfare,"Category: Country<br/>Title: Romania<br/>Section: Social welfare<br/><br/>1. In 1990, after the fall of the communist regime, the whole system was reformed.<br/>2. It was divided into multiple categories (healthcare, child care, adults and elderly), and the concept of generalized social welfare became reduced in scale.Families or mothers do not pay for giving birth, which is subsidized by state tax revenues.<br/>3. As soon as mothers give birth, they are entitled to vacation.<br/>4. They receive aid which amounts 75% of their net income, without a limit being set.<br/>5. After the age of two, children receive an allowance of approximately €9 per month up until the age of 18, although they must attend school in order to receive it.Adults are also able to apply for unemployment aid.<br/>6. The amount varies from case to case, but is generally comparable to the minimum wage.<br/>7. The unemployment aid can be granted if the payer has contributed and if they can prove they are actively seeking for a job.<br/>8. The unemployment aid is granted on a time-limited, individually determined basis.<br/>9. The unemployment rate in Romania has been relatively low in recent years and stands at around 5% in 2011.The pension system was also reformed.<br/>10. The current average retirement age (55 years for women and 57 years for men) will be gradually increased until 2014 to 60 years for women and 65 years for men.<br/>11. Pension is granted nonetheless of the contributions made during one's lifetime.<br/>12. It increases proportionally with the contribution a person made during their working age.<br/>13. Some retirees have pensions that overcome the medium salary, but a third of them live off with a pension equal to or under the minimum wage.<br/>14. Pension is provided by the state.<br/>",3,How soon are mothers entitled with a vacation after childbirth?,,
3QMELQS6Y5BUGTFDD5BAHNCU8NK6RR,3D8ERG8DI83OW7M7S32LV9DY0TKMAE,Construct a question based on text,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Thu Mar 03 14:31:51 PST 2016,1,BatchId:2295025;,900,86400,Thu Mar 10 14:31:51 PST 2016,,,3OXV7EAXLEQ5KBS5SIFFN95WC79634,A1640H4RXH8NZE,Approved,Thu Mar 03 14:41:13 PST 2016,Thu Mar 03 14:42:51 PST 2016,Fri Mar 04 14:42:51 PST 2016,2016-03-04 22:43:10 UTC,,,98,100% (5/5),100% (5/5),100% (5/5),Rugby_union-Rugby_within_international_tournaments,"Category: Sport<br/>Title: Rugby union<br/>Section: Rugby within international tournaments<br/><br/>1. Rugby union was played at the Olympic Games in 1900, 1908, 1920 and 1924.<br/>2. As per Olympic rules, the nations of Scotland, Wales and England were not allowed to play separately as they are not sovereign states.<br/>3. In 1900, France won the gold, beating Great Britain 27 points to 8 and defeating Germany 27 points to 17.<br/>4. In 1908, Australasia defeated Great Britain, claiming the gold medal, the score being 32 points to three.<br/>5. In 1920, the United States, fielding a team with many players new to the sport of rugby, upset France in a shock win, eight points to zero.<br/>6. In 1924, the United States again defeated France 17 to 3, becoming the only team to win gold twice in the sport.<br/>7. In 2009 the International Olympic Committee voted with a majority of 81 to 8 that rugby union be reinstated as an Olympic sport in at least the 2016 and 2020 games, but in the sevens, 4-day tournament format.<br/>8. This is something the rugby world has aspired to for a long time and Bernard Lapasset, president of the International Rugby Board, said the Olympic gold medal would be considered to be ""the pinnacle of our sport"" (Rugby Sevens).Rugby sevens has been played at the Commonwealth Games since the 1998 Games in Kuala Lumpur.<br/>9. The present gold medal holders are New Zealand who have won the competition on four successive occasions.<br/>10. Rugby union has also been an Asian Games event since the 1998 games in Bangkok, Thailand.<br/>11. In the 1998 and 2002 editions of the games, both the usual fifteen-a-side variety and rugby sevens were played, but from 2006 onwards, only rugby sevens was retained.<br/>12. In 2010, the women's rugby sevens event was introduced.<br/>13. The event is likely to remain a permanent fixture of the Asian Games due to elevation of rugby sevens as an Olympic sport from the 2016 Olympics onwards.<br/>14. The present gold medal holders in the sevens tournament, held in 2010, are Japan in the male event and Kazakhstan in the women's.<br/>",5,When did the United States first win?,,
3UEBBGULPFOIFE05IS9JG4CR8LSFU8,3D8ERG8DI83OW7M7S32LV9DY0TKMAE,Construct a question based on text,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Thu Mar 03 14:32:00 PST 2016,1,BatchId:2295025;,900,86400,Thu Mar 10 14:32:00 PST 2016,,,3BF51CHDTVAP08DP5EO0I2WFI950H4,A1640H4RXH8NZE,Approved,Thu Mar 03 14:38:22 PST 2016,Thu Mar 03 14:39:47 PST 2016,Fri Mar 04 14:39:47 PST 2016,2016-03-04 22:43:09 UTC,,,85,100% (5/5),100% (5/5),100% (5/5),"Sunflowers_(Van_Gogh_series)-The_""Repetitions"",_January_1889","Category: Art<br/>Title: Sunflowers (Van Gogh series)<br/>Section: The ""Repetitions"", January 1889<br/><br/>1. Both ""repetitions"" of the 4th version are no longer in their original state.<br/>2. In the Amsterdam version a strip of wood was added at the top—probably by Van Gogh himself.<br/>3. The Tokyo version, however, was enlarged on all sides with strips of canvas, which were added at a later time—presumably by the first owner, Emile Schuffenecker.<br/>4. The series is perhaps his best known and most widely reproduced.<br/>5. In recent years, there has been debate regarding the authenticity of one of the paintings, and it has been suggested that this version may have been the work of Émile Schuffenecker or of Paul Gauguin.<br/>6. Most experts, however, conclude that the work is genuine.<br/>",2,What was added to the Amsterdam version?,,
3TTPFEFXCTKHRZ1AH0ZG3JAOLEM6HU,3D8ERG8DI83OW7M7S32LV9DY0TKMAE,Construct a question based on text,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Thu Mar 03 14:31:34 PST 2016,1,BatchId:2295025;,900,86400,Thu Mar 10 14:31:34 PST 2016,,,3UOUJI6MTDE22KPK8PK6AV8GMPBXUI,A1P6OXEJ86HQRM,Approved,Thu Mar 03 16:40:06 PST 2016,Thu Mar 03 16:40:59 PST 2016,Fri Mar 04 16:40:59 PST 2016,2016-03-05 00:43:12 UTC,,,53,100% (6/6),100% (6/6),100% (6/6),Before_Midnight_(film)-Cast,Category: Movies<br/>Title: Before Midnight (film)<br/>Section: Cast<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp; Ethan Hawke as Jesse<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp; Julie Delpy as Céline<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp; Seamus Davey-Fitzpatrick as Hank<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp; Jennifer Prior as Ella<br/>5. •&nbsp;&nbsp;&nbsp;&nbsp; Charlotte Prior as Nina<br/>6. •&nbsp;&nbsp;&nbsp;&nbsp; Xenia Kalogeropoulou as Natalia<br/>7. •&nbsp;&nbsp;&nbsp;&nbsp; Walter Lassally as Patrick<br/>8. •&nbsp;&nbsp;&nbsp;&nbsp; Ariane Labed as Anna<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp; Yiannis Papadopoulos as Achilleas<br/>10. •&nbsp;&nbsp;&nbsp;&nbsp; Athina Rachel Tsangari as Ariadni<br/>11. •&nbsp;&nbsp;&nbsp;&nbsp; Panos Koronis as Stefanos<br/>,3,Which actor plays Hank in the film Before Midnight?,,
3I7SHAD35MWMNDGQR7KL12IGXB67M4,3D8ERG8DI83OW7M7S32LV9DY0TKMAE,Construct a question based on text,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Thu Mar 03 14:31:52 PST 2016,1,BatchId:2295025;,900,86400,Thu Mar 10 14:31:52 PST 2016,,,3GU1KF0O4I1IXCENM7TUBSUPV5VPB5,A1P6OXEJ86HQRM,Approved,Thu Mar 03 16:37:02 PST 2016,Thu Mar 03 16:40:05 PST 2016,Fri Mar 04 16:40:05 PST 2016,2016-03-05 00:43:11 UTC,,,183,100% (6/6),100% (6/6),100% (6/6),Battle_of_Hastings-Background_and_location,"Category: Historical Events<br/>Title: Battle of Hastings<br/>Section: Background and location<br/><br/>1. Battle.Background and location.Because many of the primary accounts contradict each other at times, it is impossible to provide a description of the battle that is beyond dispute.<br/>2. The only undisputed facts are that the fighting began at 9 am on Saturday 14 October 1066 and that the battle lasted until dusk.<br/>3. Sunset on the day of the battle was at 4:54 pm, with the battlefield mostly dark by 5:54 pm and in full darkness by 6:24 pm.<br/>4. Moonrise that night was not until 11:12 pm, so once the sun set, there was little light on the battlefield.<br/>5. William of Jumieges reports that Duke William kept his army armed and ready against a surprise night attack for the entire night before.<br/>6. The battle took place north of Hastings at the present-day town of Battle, between two hills – Caldbec Hill to the north and Telham Hill to the south.<br/>7. The area was heavily wooded, with a marsh nearby.<br/>8. The name traditionally given to the battle is unusual – there were several settlements much closer to the battlefield than Hastings.<br/>9. The ""Anglo-Saxon Chronicle"" called it the battle ""at the hoary apple tree"".<br/>10. Within 40 years, the battle was also known as ""Senlac"", a Norman-French adaptation of the Old English word ""Sandlacu"", which means ""sandy water"".<br/>11. This may have been the name of the stream that crosses the battlefield.<br/>12. The battle was already being referred to as ""bellum Hasestingas"" or ""Battle of Hastings"" by 1087, in the ""Domesday Book"".Sunrise was at 6:48 am that morning, and reports of the day record that it was unusually bright.<br/>13. The weather conditions are not recorded.<br/>14. The route that the English army took to the battlefield is not known precisely.<br/>15. Several roads are possible: one, an old Roman road that ran from Rochester to Hastings has long been favoured because of a large coin hoard found nearby in 1876.<br/>16. Another possibility is a Roman road between London and Lewes and then over local tracks to the battlefield.<br/>17. Some accounts of the battle indicate that the Normans advanced from Hastings to the battlefield, but the contemporary account of William of Jumieges places the Normans at the site of the battle the night before.<br/>18. Most historians incline towards the former view, but M. K. Lawson argues that William of Jumieges's account is correct.<br/>",10,Which Norman-French word refers to the Battle of Hastings?,,
3XU80RHWHZG90091J5MICWH6KIU44L,3D8ERG8DI83OW7M7S32LV9DY0TKMAE,Construct a question based on text,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Thu Mar 03 14:31:54 PST 2016,1,BatchId:2295025;,900,86400,Thu Mar 10 14:31:54 PST 2016,,,3483FV8BEEJGZTWMOI1A4Z046UT62F,A1P6OXEJ86HQRM,Approved,Thu Mar 03 16:41:00 PST 2016,Thu Mar 03 16:42:11 PST 2016,Fri Mar 04 16:42:11 PST 2016,2016-03-05 00:43:12 UTC,,,71,100% (6/6),100% (6/6),100% (6/6),Belgium-Abstract,"Category: Country<br/>Title: Belgium<br/>Section: Abstract<br/><br/>1. Belgium (; Dutch: ""België""; French: ""Belgique""; German: ""Belgien""), officially the Kingdom of Belgium, is a federal monarchy in Western Europe.<br/>2. It is a founding member of the European Union and hosts the EU's headquarters as well as those of several other major international organisations such as NATO.<br/>3. Belgium covers an area of , and it has a population of about 11 million people.Straddling the cultural boundary between Germanic and Latin Europe, Belgium is home to two main linguistic groups: the Dutch-speaking, mostly Flemish community (which constitutes about 59% of the population), and the French-speaking, mostly Walloon population (which comprises 41% of all Belgians).<br/>4. Additionally, there is a small group of German-speakers that are officially recognized.<br/>5. Belgium's two largest regions are the Dutch-speaking region of Flanders in the north and the French-speaking southern region of Wallonia.<br/>6. The Brussels-Capital Region, officially bilingual, is a mostly French-speaking enclave within the Flemish Region.<br/>7. *A German-speaking Community exists in eastern Wallonia.Belgium's linguistic diversity and related political conflicts are reflected in its political history and complex system of government.Historically, Belgium, the Netherlands and Luxembourg were known as the Low Countries, which used to cover a somewhat larger area than the current Benelux group of states.<br/>8. The region was called Belgica in Latin, after the Roman province of Gallia Belgica, which covered more or less the same area.<br/>9. From the end of the Middle Ages until the 17th century, the area of Belgium was a prosperous and cosmopolitan centre of commerce and culture.<br/>10. From the 16th century until the Belgian Revolution in 1830, when Belgium seceded from the Netherlands, the area of Belgium served as the battleground between many European powers, causing it to be dubbed the ""Battlefield of Europe,""*a reputation strengthened by both World Wars.Upon its independence, Belgium participated in the Industrial Revolutionand, during the course of the 20th century, possessed a number of colonies in Africa.The second half of the 20th century was marked by rising tensions between the Flemish and the Francophones fueled by differences in language and the unequal economic development of Flanders and Wallonia.<br/>11. This continuing antagonism has led to several far-reaching reforms, a transition from a unitary to a federal arrangement, and several governmental crises, the most recent — from 2007 to 2011 — being the longest.<br/>",10,In what year did Belgium secede from the Netherlands?,,
3Y7LTZE0YTMOKVR5J43QJWS9KQLUZA,3D8ERG8DI83OW7M7S32LV9DY0TKMAE,Construct a question based on text,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Thu Mar 03 14:31:59 PST 2016,1,BatchId:2295025;,900,86400,Thu Mar 10 14:31:59 PST 2016,,,3I2PTA7R3TU4QRJWSXLCA03PNVPKQA,A1P6OXEJ86HQRM,Approved,Thu Mar 03 16:35:06 PST 2016,Thu Mar 03 16:37:02 PST 2016,Fri Mar 04 16:37:02 PST 2016,2016-03-05 00:38:12 UTC,,,116,100% (6/6),100% (6/6),100% (6/6),Great_Smoky_Mountains_National_Park-Geology,"Category: Travel<br/>Title: Great Smoky Mountains National Park<br/>Section: Geology<br/><br/>1. The majority of rocks in the Great Smoky Mountains National Park are Late Precambrian rocks that are part of the Ocoee Supergroup formation.<br/>2. This group consists of metamorphosed sandstones, phyllites, schists, and slate.<br/>3. Early Precambrian rocks are not only the oldest rocks in the park but also the dominant rock type in sites such as the Raven Fork Valley and upper Tuckasegee River between Cherokee and Bryson City.<br/>4. They primarily consist of metamorphic gneiss, granite, and schist.<br/>5. Cambrian sedimentary rocks can be found among the bottom of the Foothills to the northwest and in limestone coves such as Cades Cove.<br/>6. One of the most visited attractions in the mountains is Cades Cove which is a window or an area where older rocks made out of sandstone surround the valley floor of younger rocks made out of limestone.The oldest rocks in the Smokies are the Precambrian gneiss and schists which were formed over a billion years ago from the accumulation of marine sediments and igneous rock.<br/>7. In the Late Precambrian period, the primordial ocean expanded and the more recent Ocoee Supergroup rocks formed from the accumulation of eroding land mass onto the continental shelf.<br/>8. At the end of the Paleozoic era, the ocean deposited a thick layer of marine sediments which left behind sedimentary rock.<br/>9. During the Ordovician period, the collision of North American and African plates initiated the Alleghenian orogeny that created the Appalachian range.<br/>10. The Mesozoic era was dictated by the rapid erosion of softer sedimentary rocks and re-exposed the older Ocoee Supergroup formations.<br/>",6,Which are the oldest rocks in the Great Smoky Mountains?,,
3OZ4VAIBEXFYXVB168A9RO62FZHJV3,3D8ERG8DI83OW7M7S32LV9DY0TKMAE,Construct a question based on text,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Thu Mar 03 14:31:52 PST 2016,1,BatchId:2295025;,900,86400,Thu Mar 10 14:31:52 PST 2016,,,39ZSFO5CA8W170KVRL55JM01BR3JUN,A1R5W4RQZTROD8,Approved,Thu Mar 03 17:36:48 PST 2016,Thu Mar 03 17:37:35 PST 2016,Fri Mar 04 17:37:35 PST 2016,2016-03-05 01:38:10 UTC,,,47,100% (20/20),100% (20/20),100% (20/20),Ski_jumping-Female,Category: Sport<br/>Title: Ski jumping<br/>Section: Female<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp; Sarah Hendrickson<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp; Sara Takanashi<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp; Anette Sagen<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp; Eva Ganster<br/>5. •&nbsp;&nbsp;&nbsp;&nbsp; Lindsey Van<br/>6. •&nbsp;&nbsp;&nbsp;&nbsp; Jessica Jerome<br/>7. •&nbsp;&nbsp;&nbsp;&nbsp; Daniela Iraschko<br/>8. •&nbsp;&nbsp;&nbsp;&nbsp; Elena Runggaldier<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp; Evelyn Insam<br/>10. •&nbsp;&nbsp;&nbsp;&nbsp; Lisa Demetz<br/>11. •&nbsp;&nbsp;&nbsp;&nbsp; Coline Mattel<br/>12. •&nbsp;&nbsp;&nbsp;&nbsp; Anna Hafele<br/>13. •&nbsp;&nbsp;&nbsp;&nbsp; Magdalena Schnurr<br/>14. •&nbsp;&nbsp;&nbsp;&nbsp; Ulrike Grässler<br/>15. •&nbsp;&nbsp;&nbsp;&nbsp; Line Jahr<br/>16. •&nbsp;&nbsp;&nbsp;&nbsp; Jacqueline Seifriedsberger<br/>17. •&nbsp;&nbsp;&nbsp;&nbsp; Juliane Seyfarth<br/>18. •&nbsp;&nbsp;&nbsp;&nbsp; Eva Logar<br/>19. •&nbsp;&nbsp;&nbsp;&nbsp; Maja Vtič<br/>20. •&nbsp;&nbsp;&nbsp;&nbsp; Anja Tepeš<br/>21. •&nbsp;&nbsp;&nbsp;&nbsp; Špela Rogelj<br/>22. •&nbsp;&nbsp;&nbsp;&nbsp; Katja Požun<br/>23. •&nbsp;&nbsp;&nbsp;&nbsp; Urša Bogataj<br/>,12,What was the first name of the ski jumper whose last name was Hafele?,,
3HEADTGN2PSFVJUEEDJITFSTPGBRV3,3D8ERG8DI83OW7M7S32LV9DY0TKMAE,Construct a question based on text,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Thu Mar 03 14:31:53 PST 2016,1,BatchId:2295025;,900,86400,Thu Mar 10 14:31:53 PST 2016,,,3G0WWMR1UVK5YX4ZPADS2SKTHQ1QNS,A1R5W4RQZTROD8,Approved,Thu Mar 03 17:36:00 PST 2016,Thu Mar 03 17:36:48 PST 2016,Fri Mar 04 17:36:48 PST 2016,2016-03-05 01:38:09 UTC,,,48,100% (20/20),100% (20/20),100% (20/20),General_relativity-Relativistic_generalization,"Category: Science<br/>Title: General relativity<br/>Section: Relativistic generalization<br/><br/>1. As intriguing as geometric Newtonian gravity may be, its basis, classical mechanics, is merely a limiting case of (special) relativistic mechanics.<br/>2. In the language of symmetry: where gravity can be neglected, physics is Lorentz invariant as in special relativity rather than Galilei invariant as in classical mechanics.<br/>3. (The defining symmetry of special relativity is the Poincaré group which also includes translations and rotations.)<br/>4. The differences between the two become significant when we are dealing with speeds approaching the speed of light, and with high-energy phenomena.With Lorentz symmetry, additional structures come into play.<br/>5. They are defined by the set of light cones (see the image on the left).<br/>6. The light-cones define a causal structure: for each event A, there is a set of events that can, in principle, either influence or be influenced by A via signals or interactions that do not need to travel faster than light (such as event B in the image), and a set of events for which such an influence is impossible (such as event C in the image).<br/>7. These sets are observer-independent.<br/>8. In conjunction with the world-lines of freely falling particles, the light-cones can be used to reconstruct the space–time's semi-Riemannian metric, at least up to a positive scalar factor.<br/>9. In mathematical terms, this defines a conformal structure.Special relativity is defined in the absence of gravity, so for practical applications, it is a suitable model whenever gravity can be neglected.<br/>10. Bringing gravity into play, and assuming the universality of free fall, an analogous reasoning as in the previous section applies: there are no global inertial frames.<br/>11. Instead there are approximate inertial frames moving alongside freely falling particles.<br/>12. Translated into the language of spacetime: the straight time-like lines that define a gravity-free inertial frame are deformed to lines that are curved relative to each other, suggesting that the inclusion of gravity necessitates a change in spacetime geometry.A priori, it is not clear whether the new local frames in free fall coincide with the reference frames in which the laws of special relativity hold—that theory is based on the propagation of light, and thus on electromagnetism, which could have a different set of preferred frames.<br/>13. But using different assumptions about the special-relativistic frames (such as their being earth-fixed, or in free fall), one can derive different predictions for the gravitational redshift, that is, the way in which the frequency of light shifts as the light propagates through a gravitational field (cf.<br/>14. below).<br/>15. The actual measurements show that free-falling frames are the ones in which light propagates as it does in special relativity.<br/>16. The generalization of this statement, namely that the laws of special relativity hold to good approximation in freely falling (and non-rotating) reference frames, is known as the Einstein equivalence principle, a crucial guiding principle for generalizing special-relativistic physics to include gravity.The same experimental data shows that time as measured by clocks in a gravitational field—proper time, to give the technical term—does not follow the rules of special relativity.<br/>17. In the language of spacetime geometry, it is not measured by the Minkowski metric.<br/>18. As in the Newtonian case, this is suggestive of a more general geometry.<br/>19. At small scales, all reference frames that are in free fall are equivalent, and approximately Minkowskian.<br/>20. Consequently, we are now dealing with a curved generalization of Minkowski space.<br/>21. The metric tensor that defines the geometry—in particular, how lengths and angles are measured—is not the Minkowski metric of special relativity, it is a generalization known as a semi- or pseudo-Riemannian metric.<br/>22. Furthermore, each Riemannian metric is naturally associated with one particular kind of connection, the Levi-Civita connection, and this is, in fact, the connection that satisfies the equivalence principle and makes space locally Minkowskian (that is, in suitable locally inertial coordinates, the metric is Minkowskian, and its first partial derivatives and the connection coefficients vanish).<br/>",15,In what type  of frames does light propagate in the same way as it does in special relativity?,,
