paragraph_id,content
Rolling_in_the_Deep-Music_video,"<font color=""blue"">Question</font>: When did ""Rolling in the Deep"" music video won the Grammy Award?<br/><font color=""blue"">Sentence(s)</font>: The video won the Grammy Award for Best Short Form Music Video on 12 February 2012."
Gangnam_Style-Production,"<font color=""blue"">Question</font>: Who is it directed by?<br/><font color=""blue"">Sentence(s)</font>: The music video is directed by Cho Soo-hyun, who also directed the MV for Psy's follow-up single ""Gentleman"" and the MV for ""This Love"" by Shinhwa."
Let_It_Be-Recording_sessions,"<font color=""blue"">Question</font>: When did the Beatles move to Apple studios?<br/><font color=""blue"">Sentence(s)</font>: Sessions resumed on 22 January when the Beatles moved to Apple Studios."
Hey_Jude-Cover_versions,"<font color=""blue"">Question</font>: What was Weird Al's album in 1984?<br/><font color=""blue"">Sentence(s)</font>: ""Weird Al"" Yankovic included the song in his first polka medley ""Polkas on 45"" from his 1984 album """"Weird Al"" Yankovic in 3-D""."
I_Want_to_Hold_Your_Hand-Personnel,"<font color=""blue"">Question</font>: Who performed the vocals for I Want to Hold Your Hand?<br/><font color=""blue"">Sentence(s)</font>: John Lennon – vocal, rhythm guitar, handclaps</br>Paul McCartney – vocal, bass guitar, handclaps"
Every_Breath_You_Take-Abstract,"<font color=""blue"">Question</font>: Who won Song of the Year for Every Breath You Take?<br/><font color=""blue"">Sentence(s)</font>: Sting won Song of the Year while The Police won Best Pop Performance by a Duo or Group with Vocals; however, it did not win Record of the Year."
Free_Bird-In_popular_culture,"<font color=""blue"">Question</font>: Which version of the Guitar Hero video game was Free Bird featured as the final song?<br/><font color=""blue"">Sentence(s)</font>: It was previously featured as the final song of ""Guitar Hero II"" and again in '."
Counting_Stars-Music_video,"<font color=""blue"">Question</font>: What animal appears in the music video?<br/><font color=""blue"">Sentence(s)</font>: The video also shows clips of an alligator crawling through the basement."
How_to_Save_a_Life-Personnel,"<font color=""blue"">Question</font>: Who is on drums?<br/><font color=""blue"">Sentence(s)</font>: Ben Wysocki - drums, percussion"
Wake_Me_Up_When_September_Ends-Abstract,"<font color=""blue"">Question</font>: How many did the song do in sales in the UK?<br/><font color=""blue"">Sentence(s)</font>: The song is certified Silver in the United Kingdom for sales of 200,000 "
Chasing_Cars-Abstract,"<font color=""blue"">Question</font>: When was it recorded?<br/><font color=""blue"">Sentence(s)</font>: It was recorded in 2005 and released on 6 June 2006 in the US and 24 July 2006 in the UK as the album's second single."
I_Believe_I_Can_Fly-In_film_and_television,"<font color=""blue"">Question</font>: Who sang ""I Believe I Can Fly"" on ""The Voice""?<br/><font color=""blue"">Sentence(s)</font>: This song was also performed on ""The Voice"" as the last solo song for the second season's winner Jermaine Paul."
Viva_la_Vida-Sporting_usage,"<font color=""blue"">Question</font>: When did ""Viva la Vida"" became the anthem of Spanish football club FC Barcelona?<br/><font color=""blue"">Sentence(s)</font>: During the 2008/2009 season, the German football club Hamburger SV used ""Viva la Vida"" as their goal celebration song.The song also became the anthem of Spanish football club FC Barcelona during the 2008–09 season."
Love_the_Way_You_Lie-Personnel,"<font color=""blue"">Question</font>: Who is the guitarist?<br/><font color=""blue"">Sentence(s)</font>:  J. Brow – guitarist"
